venue_id,name,sheet_row,column,value,op
v1458,Zoo Sindang,1317,AP,ChIJ8ULliqNZwokRgae7D-wJK_M,set gpid
v1463,Jua,1322,AP,ChIJfTgbIE9ZwokRdRjFE2OMZN8,set gpid
v1465,Take31,1324,AP,ChIJ5-ZTbqhZwokROw_GJzQx1dw,set gpid
v1473,Woorijip,1331,AP,ChIJzfG-8ahZwokR5FLB4KmxBXI,set gpid
v1461,DubuHaus,1320,AP,ChIJLTAznpRZwokR9ILaBL9mjOc,set gpid
v1464,BCD Tofu House,1323,AP,ChIJ3fZz-6hZwokRvjeitvq-5fY,set gpid
v1466,The Kunjip,1325,AP,ChIJdQxV-KhZwokRsyAt1XYvtiQ,set gpid
v1469,Let's Meat BBQ,1327,AP,ChIJJ4y_XahZwokRgO8olYwA7Cg,set gpid
v1470,Moono,1328,AP,ChIJaWBLA_pZwokRX2BYIIr6rwE,set gpid
v1471,Pocha 32,1329,AP,ChIJJdmP46hZwokRqffbVAebL6s,set gpid
v1472,Oiji Mi,1330,AP,ChIJee0VTWZZwokRDYFpAoConlw,set gpid
v1474,Food Gallery 32,1332,AP,ChIJa2YT-ahZwokR-FABvLXcKi0,set gpid
v1477,Anytime Kitchen,1333,AP,ChIJdzf8kEZZwokRXtSOY0-Kwaw,set gpid
v1479,Seoul Salon NYC,1334,AP,ChIJqdwhvD5ZwokRMjq-dG4AVm4,set gpid
v1480,Sorimmara,1335,AP,ChIJC-GfTABZwokRT4j4uF-16nE,set gpid
v1481,Oncheon NYC,1336,AP,ChIJ1ZxIs4pZwokRAgQkzckhDqE,set gpid
v1460,Sweet Graffiti,1319,AP,ChIJwYecLgBZwokRW4_GTV3fOOg,set gpid
v1462,Mari,1321,AP,ChIJk_HUw2dZwokR_zqBwmFDHgo,set gpid
v1459,Dookki,1318,AP,ChIJKz9ZaABZwokRmsT0Iwjpy_w,set gpid (re-resolved)
v1468,Baekjeong,1326,AE,no,deactivate
